
Company	"Model
Number"	"Size
(Steam Pans)"	"Fuel
Type"	"Preheat
Energy
(Btu or kWh)"	"Idle Rate
(Btu/h or kW)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lbs/h)"	"Cooking
Water Use
(gph)"	"Idle Rate
(Btu/h or kW)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lbs/h)"	"Cooking
Water Use
(gph)"	"Rebate
(per oven)"	"PG&E
Measure
Code"
Alto-Shaam 	7.14 ESG	14	Gas	"8,100"	7930	49%	133	0	"9,530"	40%	198	4.6	"$1,100"	HA48
Alto-Shaam 	CTC7-20G	16	Gas	"6,773"	5517	60%	173	1.3	"1,654"	52%	161	0.9	"$1,450"	F101
Alto-Shaam 	CTP10-20G	22	Gas	"8,682"	6964	61%	225	7.7	"3,298"	51%	261	6.6	"$1,450"	F101
Alto-Shaam 	CTP20-20G	40	Gas	"16,117"	12193	63%	402	0.4	"2,537"	50%	325	9.1	"$2,400"	HA49
Alto-Shaam 	CTP7-20G	14	Gas	"6,767"	5950	59%	142	10.6	"5,456"	47%	250	12.2	"$1,100"	HA48
Blodgett	BLC*-102G	20	Gas	"7,042"	6717	60%	181	0	"17,254"	42%	148	19.1	"$1,450"	F101
Blodgett	BLC*-62G	10	Gas	"6,621"	4212	59%	114	0	"13,431"	50%	144	10.0	"$1,100"	HA48
Convotherm	C4e* 10.20GS	22	Gas	"7,559"	7127	63%	227	0	"7,066"	58%	299	1.7	"$1,450"	F101
Convotherm	C4e* 20.20GB	40	Gas	"13,996"	10270	61%	391	3.3	"11,927"	48%	352	9.6	"$2,400"	HA49
Convotherm	C4e* 6.20GB	14	Gas	"5,187"	5438	62%	132	0	"7,439"	51%	167	4.3	"$1,100"	HA48
Convotherm	C4e* 6.20GS	14	Gas	"4,977"	5101	62%	141	0	"5,003"	58%	204	2.5	"$1,100"	HA48
Convotherm	OGB-6.20	14	Gas	"6,509"	5144	60%	150	19.1	"12,123"	44%	198	10.8	"$1,100"	HA48
Convotherm	OGS-10.20	22	Gas	"8,540"	7100	61%	210	0	"7,370"	47%	277	0.9	"$1,450"	F101
Convotherm	OGS-20.20	40	Gas	"17,901"	6703	61%	415	42.3	"10,604"	57%	649	14.8	"$2,400"	HA49
Convotherm	OGS-6.20	14	Gas	"5,140"	4801	59%	133	0	"5,099"	57%	187	2.2	"$1,100"	HA48
Electrolux	Air-O-Convect AOS062GCP1 	12	Gas	"4,356"	7175	55%	132	0	"11,752"	48%	160	2.9	"$1,100"	HA48
Eloma	Genius *T10-11	10	Gas	"5,396"	8000	60%	103	0	"13,317"	51%	189	4.2	"$1,100"	HA48
Eloma	Genius *T6-11	6	Gas	"3,763"	5077	57%	66	0	"9,515"	48%	119	2.9	"$1,100"	HA48
Henny Penny	FPG115	10	Gas	"4,960"	3755	61%	104	0	"8,081"	53%	168	9.2	"$1,100"	HA48
Henny Penny	GCC615	6	Gas	"3,655"	4481	52%	60	0	"7,455"	44%	78	7.3	"$1,100"	HA48
Henny Penny	GSC115	10	Gas	"5,234"	5531	57%	90	0	"8,467"	46%	140	6.1	"$1,100"	HA48
Lang	CPE 2.10G 	20	Gas	"7,042"	6717	60%	181	0	"17,254"	42%	148	19.1	"$1,450"	F101
Piper	HMG072X	14	Gas	"6,093"	6456	54%	124	16.2	"14,905"	46%	211	19.4	"$1,100"	HA48
Piper	NAGB071	7	Gas	"3,750"	4650	56%	63	2.6	"7,531"	43%	107	4.7	"$1,100"	HA48
Rational	B1182*	10	Gas	"9,908"	4365	62%	106	-	"5,743"	44%	251	-	"$1,100"	HA48
Rational	B1282*	20	Gas	"8,130"	5340	57%	189	0.3	"7,380"	43%	313	17.3	"$1,450"	F101
Rational	B2282*	40	Gas	"12,556"	9403	56%	373	12.1	"14,447"	56%	630	32.6	"$2,400"	HA49
Rational	B6182*	6	Gas	"3,170"	3735	57%	64	3.5	"8,430"	45%	119	12.0	"$1,100"	HA48
Rational	B6282*	12	Gas	"4,952"	3558	58%	126	9.2	"7,769"	54%	232	12.0	"$1,100"	HA48
Rational	SCC102G	20	Gas	"7,347"	8152	55%	184	21	"11,979"	45%	281	39.6	"$1,450"	F101
Rational	SCC61G	6	Gas	"3,855"	5269	51%	66	8.3	"12,035"	48%	94	8.2	"$1,100"	HA48
Rational	SCCWE101NG	10	Gas	"9,908"	4365	62%	106	-	"5,743"	44%	251	-	"$1,100"	HA48
Rational	SCCWE102NG	20	Gas	"8,130"	5340	57%	189	0.3	"7,380"	43%	313	17.3	"$1,450"	F101
Rational	SCCWE202NG	40	Gas	"12,556"	9403	56%	373	12.1	"14,447"	56%	630	32.6	"$2,400"	HA49
Rational	SCCWE61NG	6	Gas	"3,170"	3735	57%	64	3.5	"8,430"	45%	119	12.0	"$1,100"	HA48
Rational	SCCWE62NG	12	Gas	"4,952"	3558	58%	126	9.2	"7,769"	54%	232	12.0	"$1,100"	HA48
UNOX	XAVC-10FS-GPR	20	Gas	"7,975"	4051	63%	189	0	"4,765"	49%	260	12.7	"$1,450"	F101
Alto-Shaam 	7.14 ESI	14	Electric	1.09	1.42	78%	136	1.1	0.92	59%	109	5.4	"$1,350"	HA16
Alto-Shaam 	7.14ES	14	Electric	1.22	1.56	79%	141	0	2.13	61%	204	9.4	"$1,350"	HA16
Alto-Shaam 	CTP7-20E	14	Electric	1.26	1.51	80%	140	0.8	1.18	59%	171	1.5	"$1,350"	HA16
BKI	HE061	6	Electric	0.93	1.08	73%	61	0	0.98	51%	54	10.8	"$1,350"	HA16
BKI	HE062R	12	Electric	1.08	1.28	76%	99	0	1.13	66%	126	9.1	"$1,350"	HA16
BKI	HE101	10	Electric	0.98	1.30	76%	111	0	1.15	70%	109	11.7	"$1,350"	HA16
BKI	HE102	20	Electric	1.43	1.69	81%	200	0	1.81	68%	220	12.9	"$1,375"	F100
BKI	TE102R	20	Electric	1.40	1.69	84%	206	0	5.31	68%	296	13.9	"$1,375"	F100
Blodgett	BLC*-10E	6	Electric	0.54	0.74	78%	62	0	1.59	66%	100	4.5	"$1,350"	HA16
Convotherm	C4e* 10.10ES	10	Electric	0.97	1.19	78%	104	0	0.71	72%	101	0.5	"$1,350"	HA16
Convotherm	C4e* 10.20EB	22	Electric	1.53	1.74	81%	216	0	2.52	64%	348	10.6	"$1,375"	F100
Convotherm	C4e* 10.20ES	22	Electric	1.49	1.68	83%	232	0.1	1.56	76%	337	2.7	"$1,375"	F100
Convotherm	C4e* 6.20EB	14	Electric	1.46	1.42	80%	145	0	1.85	61%	213	8.1	"$1,350"	HA16
Convotherm	C4e* 6.20ES	14	Electric	1.05	1.36	81%	139	0	1.44	70%	183	0.2	"$1,350"	HA16
