Qualified Hot Food Holding Cabinets					Updated 	 5/17/2017
Qualifying models must meet CEE Tier 2 specification. This measure does not include cook and hold equipment. All measures must be electric hot						
food holding cabinets that are fully insulated and have solid doors. Qualifying cabinets must not exceed the maximum idle energy rate of 20 Watts						
per cubic foot in accordance with the ASTM Standard F2140 test method and must be listed in the California Energy Commission database.						
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."						
Company	Model Number	Size	"Cabinet
Volume
(cu. ft.)"	"Idle Energy
Rate
(Watts/cu. ft.)"	"Rebate
(per unit)"	"PG&E
Measure
Code"
Alto-Shaam	1000-BQ2/128	Full Size	28.2	13.46	$750	F110
Alto-Shaam	1000-BQ2/192	Full Size	44.0	11.89	$750	F110
Alto-Shaam	1000-BQ2/96	Full Size	22.0	15.05	$750	F110
Alto-Shaam	1000-UP**	Full Size	15.6	18.25	$750	F110
Alto-Shaam	12.20*W	Full Size	19.4	10.92	$750	F110
Alto-Shaam	1200-S***	1/2 Size	9.9	20.00	$200	F111
Alto-Shaam	1200-UP***	Full Size	19.7	19.34	$750	F110
Alto-Shaam	20-20*W	Full Size	29.3	9.94	$750	F110
Cambro Manufacturing Co.	CMBH1826***	Full Size	18.0	0.67	$750	F110
Cambro Manufacturing Co.	CMBH1826L	1/2 Size	8.0	1.25	$200	F111
Cambro Manufacturing Co.	CMBH1826LC	1/2 Size	8.0	1.25	$200	F111
Cambro Manufacturing Co.	CMBH1826LF	1/2 Size	8.0	1.25	$200	F111
Cambro Manufacturing Co.	CMBH1826LTR	1/2 Size	8.0	1.25	$200	F111
Cambro Manufacturing Co.	UPCH1600	1/2 Size	7.8	1.93	$200	F111
Cambro Manufacturing Co.	UPCH400	1/2 Size	3.9	3.87	$200	F111
Cambro Manufacturing Co.	UPCH800	1/2 Size	7.8	1.93	$200	F111
Cambro Manufacturing Co.	UPCHT800	1/2 Size	7.8	1.93	$200	F111
Cambro Manufacturing Co.	UPCHW400	1/2 Size	3.9	3.87	$200	F111
"Carter-Hoffman, LLC"	BB1824 [120V]	1/2 Size	10.5	10.86	$200	F111
"Carter-Hoffman, LLC"	BB1824 [240V]	1/2 Size	10.5	11.14	$200	F111
"Carter-Hoffman, LLC"	BB1824 [280V]	1/2 Size	10.5	11.33	$200	F111
"Carter-Hoffman, LLC"	BB96	Full Size	27.8	18.24	$750	F110
"Carter-Hoffman, LLC"	BB96E	Full Size	26.4	19.20	$750	F110
"Carter-Hoffman, LLC"	BR96	Full Size	27.8	18.24	$750	F110
"Carter-Hoffman, LLC"	PH181 [120V]	1/2 Size	10.5	10.86	$200	F111
"Carter-Hoffman, LLC"	PH181 [240V]	1/2 Size	10.5	9.71	$200	F111
"Carter-Hoffman, LLC"	PH181 [280V]	1/2 Size	10.5	9.62	$200	F111
"Carter-Hoffman, LLC"	PS96	Full Size	26.4	19.20	$750	F110
Crescor	CCB120A*****	Full Size	38.1	11.34	$750	F110
Crescor	CCB150****	Full Size	41.3	15.30	$750	F110
Crescor	EB150****	Full Size	40.6	15.15	$750	F110
Crescor	H137*UA12C**208***	Full Size	22.5	12.43	$750	F110
Crescor	H137*UA12C**240***	Full Size	22.5	12.43	$750	F110
Crescor	H137*UA12C**2K****	Full Size	22.5	12.43	$750	F110
Crescor	H137*UA9C********	Full Size	16.4	15.00	$750	F110
Crescor	H137SUA12D**	Full Size	21.5	10.45	$750	F110
Crescor	H137SUA6D**	1/2 Size	10.4	14.33	$200	F111
Crescor	H137SUA9D**	Full Size	15.6	13.72	$750	F110
Crescor	H137WS1834D15A	Full Size	21.5	12.40	$750	F110
Crescor	H137WSUA12C*********	Full Size	22.5	12.43	$750	F110
Crescor	H137WSUA12D15A	Full Size	21.5	12.40	$750	F110
Crescor	H137WSUA6CM*********	1/2 Size	10.9	17.76	$200	F111
Crescor	H138*1834C**208***	Full Size	22.5	12.43	$750	F110
Crescor	H138*1834C**240***	Full Size	22.5	12.43	$750	F110
Crescor	H138*1834C**2K****	Full Size	22.5	12.43	$750	F110
Crescor	H138S1834D	Full Size	21.5	10.45	$750	F110
Crescor	H138WS1816CM*********	1/2 Size	10.9	17.76	$200	F111
Crescor	H138WS1834C*********	Full Size	22.5	12.43	$750	F110
Crescor	H161FUA11CM***	Full Size	22.9	19.56	$750	F110
Crescor	H339***12188C******	1/2 Size	7.1	17.13	$200	F111
Crescor	H339***1813C*****	1/2 Size	7.1	17.09	$200	F111
Crescor	H339***188C******	1/2 Size	7.1	17.09	$200	F111
Crescor	H339214C	1/2 Size	13.8	14.84	$200	F111
Crescor	H339SSUA8C	1/2 Size	6.9	17.00	$200	F111
Crescor	H339WSSUA8D***	1/2 Size	8.3	16.89	$200	F111
Crescor	HCUA11	Full Size	15.4	14.66	$750	F110
FWE	E-600	Full Size	16.5	2.00	$750	F110
FWE	E-600-***	Full Size	16.5	2.00	$750	F110
FWE	E-720	Full Size	23.2	1.55	$750	F110
FWE	E-720-***	Full Size	23.2	1.55	$750	F110
FWE	E-720-XL	Full Size	29.0	0.45	$750	F110
FWE	E-720-XL-***	Full Size	29.0	0.45	$750	F110
FWE	E-960	Full Size	31.1	1.00	$750	F110
FWE	E-960-***	Full Size	31.1	1.00	$750	F110
FWE	HLC-16-CHP	1/2 Size	12.3	20.00	$200	F111
FWE	"HLC-5 (120v, 500W)"	1/2 Size	3.0	5.33	$200	F111
FWE	"HLC-5-*** (120v, 500W)"	1/2 Size	3.0	5.33	$200	F111
FWE	"HLC-5S (120v, 500W)"	1/2 Size	3.0	5.33	$200	F111
FWE	"HLC-5S-*** (120v, 500W)"	1/2 Size	3.0	5.33	$200	F111
FWE	"HLC-SL-1826-5 (120v, 1000W)"	1/2 Size	7.0	2.57	$200	F111
FWE	"HLC-SL-1826-5-*** (120v, 500W)"	1/2 Size	7.0	2.57	$200	F111
FWE	"HLC-SL-1826-8 (120v, 1000W)"	1/2 Size	8.9	1.69	$200	F111
FWE	"HLC-SL-1826-8-*** (120v, 1000W)"	1/2 Size	8.9	1.69	$200	F111
FWE	MTU-12	Full Size	23.0	0.70	$750	F110
FWE	MTU-12-***	Full Size	23.0	0.70	$750	F110
FWE	MTU-4	1/2 Size	9.1	3.96	$200	F111
FWE	MTU-4-***	1/2 Size	9.1	3.96	$200	F111
FWE	P-60	1/2 Size	14.3	1.82	$200	F111
FWE	P-60-***	1/2 Size	14.3	1.82	$200	F111
FWE	PHTT-10****	Full Size	17.9	1.51	$750	F110
FWE	PHTT-12*****	Full Size	23.1	0.95	$750	F110
FWE	PHTT-12******	Full Size	23.1	1.00	$750	F110
FWE	PHTT-4	1/2 Size	8.3	3.98	$200	F111
FWE	PHTT-4-***	1/2 Size	8.3	3.98	$200	F111
FWE	PHTT-4S	1/2 Size	8.3	3.98	$200	F111
FWE	PHTT-4S-***	1/2 Size	8.3	3.98	$200	F111
FWE	PHTT-6	1/2 Size	12.3	2.28	$200	F111
FWE	PHTT-6*****	1/2 Size	12.3	2.68	$200	F111
FWE	PHTT-6******	1/2 Size	12.3	2.93	$200	F111
FWE	PHTT-6-***	1/2 Size	12.3	2.28	$200	F111
FWE	PHTT-6S	1/2 Size	12.3	2.28	$200	F111
FWE	PHTT-6S-***	1/2 Size	12.3	2.28	$200	F111
FWE	PHU-12	Full Size	23.1	11.43	$750	F110
FWE	PHU-4	1/2 Size	9.1	3.96	$200	F111
FWE	PHU-4-***	1/2 Size	9.1	3.96	$200	F111
FWE	PST-10	1/2 Size	6.6	3.64	$200	F111
FWE	PST-10-***	1/2 Size	6.6	3.64	$200	F111
FWE	TS-1633-36	Full Size	23.5	0.85	$750	F110
FWE	TS-1633-36-***	Full Size	23.5	0.85	$750	F110
FWE	UHS-10	Full Size	19.2	0.78	$750	F110
FWE	UHS-10-***	Full Size	19.2	0.78	$750	F110
FWE	UHS-12	Full Size	22.5	0.62	$750	F110
FWE	UHS-12-***	Full Size	22.5	0.62	$750	F110
FWE	UHS-4	1/2 Size	9.0	3.33	$200	F111
FWE	UHS-4-***	1/2 Size	9.0	3.33	$200	F111
FWE	UHST-13	Full Size	24.5	0.82	$750	F110
FWE	UHST-13-***	Full Size	24.5	0.82	$750	F110
McCall	1-1020H****	Full Size	22.4	12.50	$750	F110
