Qualified Fryers									Updated 	 5/17/2017
Qualifying gas fryer models (vat width < 18-inches) must meet ENERGY STAR specifications for energy efficiency OR must have a tested heavy load cooking energy efficiency of 50%										
"and an idle energy rate ≤ 9,000 Btu/h utilizing ASTM Standard F1361. Qualifying gas fryer models (vat width ≥ 18-inches) must meet ENERGY STAR specifications for energy efficiency"										
"OR must have a tested heavy load cooking energy efficiency of 50% and and idle energy rate ≤ 12,000 Btu/h utilizing ASTM Standard F2144."										
Qualifying electric fryer models (vat width < 18-inches) must meet ENERGY STAR specifications for energy efficiency OR must have a tested heavy load cooking energy efficiency of 80%										
"and an idle energy rate ≤ 1,000 W utilizing ASTM Standard F1361. Qualifying electric fryer models (vat width ≥ 18-inches) must meet ENERGY STAR specifications for energy efficiency"										
"OR must have a tested heavy load cooking energy efficiency of 80% and and idle energy rate ≤ 1,100 W utilizing ASTM Standard F2144."										
Multiple vat configurations are paid per qualifying vat.										
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."										
Company	Model Number	"Vat
Width"	"Shortening
Capacity
(lb)"	"Fuel
Type"	"Preheat
Energy
(Btu or kWh)"	"Idle Energy Rate
(Btu/h or kW)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lbs/h)"	"Rebate
(per vat)"	"PG&E
Measure
Code"
Alto-Shaam	ASF-60G	13	62	Gas	"13,442"	"4,072"	66%	82	$749	F206
Alto-Shaam	ASF-75G	22	73	Gas	"16,936"	"4,825"	71%	134	$749	F206
Anets	AH55	14	50	Gas	"13,456"	"4,632"	51%	67	$749	F206
Frymaster	BIGLA*30	13	31	Gas	"9,556"	"4,382"	56%	68	$749	F206
Frymaster	BIH*55	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	BK*55C	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	BK*55RC	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	BK55C	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	BK55RC	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	BKFP*55C	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	BKFP*55RC	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	ESG35T	14	35	Gas	"9,582"	"8,233"	50%	58	$749	F206
Frymaster	FPGL*30	13	31	Gas	"9,265"	"3,832"	60%	66	$749	F206
Frymaster	FPH*55	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	FPH50	14	50	Gas	"15,300"	"6,400"	50%	57	$749	F206
Frymaster	H*55	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	H55	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	HD*50G	14	50	Gas	"11,117"	"8,386"	52%	72	$749	F206
Frymaster	HD*60G	18	80	Gas	"16,362"	"10,242"	52%	107	$749	F206
Frymaster	KH*55-**	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	MJH*50	14	50	Gas	"15,300"	"6,400"	50%	57	$749	F206
Frymaster	MPH*55	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	PH*55	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	PH55	14	50	Gas	"13,951"	"5,604"	55%	69	$749	F206
Frymaster	PMJH*50	14	50	Gas	"15,300"	"6,400"	50%	57	$749	F206
Frymaster	YSCFH*14G	14	50	Gas	"11,117"	"8,386"	52%	72	$749	F206
"Giles Enterprises, Inc."	GGF-400	13	45	Gas	"7,998"	"3,835"	54%	39	$749	F206
"Giles Enterprises, Inc."	GGF-720	18.5	75	Gas	"11,519"	"5,645"	61%	80	$749	F206
Henny Penny	EEG-14*	12	30	Gas	"8,935"	"5,790"	54%	64	$749	F206
Henny Penny	EEG-15*	12	30	Gas	"8,935"	"5,790"	54%	64	$749	F206
Henny Penny	EEG-16*	12	30	Gas	"8,935"	"5,790"	54%	64	$749	F206
Henny Penny	EEG-24*	12	30	Gas	"8,935"	"5,790"	54%	64	$749	F206
Henny Penny	EEG-25*	12	30	Gas	"8,935"	"5,790"	54%	64	$749	F206
Henny Penny	LVG	12	30	Gas	"8,935"	"5,790"	54%	64	$749	F206
Henny Penny	OFG-32*	13	62	Gas	"13,755"	"7,040"	50%	72	$749	F206
Henny Penny	OGA-32*	13	62	Gas	"13,755"	"7,040"	50%	72	$749	F206
Hobart	HK45	14	45	Gas	"8,192"	"4,636"	65%	78	$749	F206
Hobart	HK65	20	65	Gas	"11,914"	"4,838"	66%	91	$749	F206
Hobart	HK85	20	85	Gas	"15,039"	"6,075"	66%	100	$749	F206
Hobart	HR45	14	45	Gas	"7,548"	"4,318"	61%	69	$749	F206
Hobart	HR65	20	65	Gas	"12,278"	"5,083"	60%	82	$749	F206
Hobart	HR85	20	85	Gas	"15,072"	"5,575"	60%	87	$749	F206
Keating	18 IFM	18	68	Gas	"19,908"	"7,139"	51%	79	$749	F206
Keating	IFM 14	14	38	Gas	"7,999"	"3,971"	54%	58	$749	F206
Lincat	OG7115	13	35	Gas	"9,902"	"3,326"	63%	55	$749	F206
Paloma	PF-*S	14	50	Gas	"11,848"	"3,420"	62%	72	$749	F206
PBI	2600530	18	80	Gas	"16,362"	"10,242"	52%	107	$749	F206
PBI	2600580	18	80	Gas	"16,362"	"10,242"	52%	107	$749	F206
Pearl City	P-30	30	75	Gas	"17,596"	"8,352"	71%	156	$749	F206
Pitco	BKSGH50SPC	14	50	Gas	"10,275"	"8,510"	54%	67	$749	F206
Pitco	MGII	14	50	Gas	"10,275"	"8,510"	54%	67	$749	F206
Pitco	SFSGM20	20	135	Gas	"23,410"	"11,206"	57%	90	$749	F206
Pitco	SFSSH55	14	50	Gas	"11,138"	"8,140"	55%	72	$749	F206
Pitco	SFSSH60	14	60	Gas	-	"8,705"	58%	76	$749	F206
Pitco	SFSSH60R	14	60	Gas	-	"8,446"	52%	74	$749	F206
Pitco	SFSSH60W	18	60	Gas	"15,781"	"10,644"	55%	76	$749	F206
Pitco	SFSSH75	18	75	Gas	"14,884"	"11,226"	61%	99	$749	F206
Pitco	SFSSH75R	18	75	Gas	"16,935"	"11,819"	56%	107	$749	F206
Pitco	SGC	14	35	Gas	"9,636"	"4,899"	50%	55	$749	F206
Pitco	SGH50	14	50	Gas	"10,275"	"8,510"	54%	67	$749	F206
Pitco	SGM20	20	135	Gas	"23,410"	"11,206"	57%	90	$749	F206
Pitco	SGMF20	20	135	Gas	"23,410"	"11,206"	57%	90	$749	F206
Pitco	SSH55	14	50	Gas	"11,138"	"8,140"	55%	72	$749	F206
Pitco	SSH60	14	60	Gas	-	"8,705"	58%	76	$749	F206
Pitco	SSH60R	14	60	Gas	-	"8,446"	52%	74	$749	F206
Pitco	SSH60W	18	60	Gas	"15,781"	"10,644"	55%	76	$749	F206
Pitco	SSH75	18	75	Gas	"14,886"	"11,226"	61%	99	$749	F206
Pitco	SSH75R	18	75	Gas	"16,935"	"11,819"	56%	107	$749	F206
