Qualified Griddles												Updated 	 5/17/2017
"Qualifying gas griddle models must have a tested heavy-load cooking energy efficiency of 38% or greater and an idle energy rate of 2,650 Btu/h per ft_ of cooking surface or less,"													
utilizing ASTM Standard F1275. Qualifying electric griddle models must have a tested heavy-load cooking energy efficiency of 70% or greater and an idle energy rate of 355 Watts													
"per ft_ of cooking surface or less, utilizing ASTM Standard F1275."													
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."													
						Preheat Energy		Idle Energy					
Company	Model Number	"Single or
Double
Sided"	"Fuel
Type"	"Nominal
Width
(ft)"	"Surface
Area
(ft_)"	"Gas
(Btu)"	"Electric
(Wh)"	"Gas
(Btu)"	"Electric
(Wh)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lbs/h)"	"Rebate
(per unit)"	"PG&E
Measure
Code"
AccuTemp	GGF1201A2400	Single	Gas	2	4.73	"3,787"	-	"2,534"	-	47%	7.1	$200	FS003
AccuTemp	GGF1201A2450	Single	Gas	2	5.00	"3,201"	-	"1,772"	-	54%	8.1	$200	FS003
AccuTemp	GGF1201A3600	Single	Gas	3	7.22	"3,787"	-	"2,534"	-	47%	7.1	$300	FS003
AccuTemp	GGF1201A3650	Single	Gas	3	7.50	"3,207"	-	"1,580"	-	54%	7.8	$300	FS003
AccuTemp	GGF1201A4800	Single	Gas	4	9.47	"3,787"	-	"2,534"	-	47%	7.1	$400	FS003
AccuTemp	GGF1201A4850	Single	Gas	4	10.00	"3,207"	-	"1,580"	-	54%	7.8	$400	FS003
Accutemp	GGF1201B2400	Single	Gas	2	4.00	"3,787"	-	"2,534"	-	47%	7.1	$200	FS003
AccuTemp	GGF1201B2450	Single	Gas	2	4.00	"3,201"	-	"1,772"	-	54%	8.1	$200	FS003
AccuTemp	GGF1201B3600	Single	Gas	3	6.00	"3,787"	-	"2,534"	-	47%	7.1	$300	FS003
AccuTemp	GGF1201B3650	Single	Gas	3	6.00	"3,207"	-	"1,580"	-	54%	7.8	$300	FS003
AccuTemp	GGF1201B4800	Single	Gas	4	8.00	"3,787"	-	"2,534"	-	47%	7.1	$400	FS003
AccuTemp	GGF1201B4850	Single	Gas	4	8.00	"3,207"	-	"1,580"	-	54%	7.8	$400	FS003
Anetsberger	TM24x36G	Single	Gas	3	6.00	"2,196"	-	"2,491"	-	40%	6.7	$300	FS003
Anetsberger	TM24x48G	Single	Gas	4	8.00	"2,196"	-	"2,491"	-	40%	6.7	$400	FS003
Anetsberger	TM24x60G	Single	Gas	5	10.00	"2,196"	-	"2,491"	-	40%	6.7	$500	FS003
Anetsberger	TM24x72G	Single	Gas	6	12.00	"2,196"	-	"2,491"	-	40%	6.7	$600	FS003
Electrolux	ARG36FL	Single	Gas	3	5.62	"2,967"	-	"2,462"	-	40%	7.5	$300	FS003
Garland	MW26W	Double	Gas	3	6.00	"1,533"	293	566	180	52%	7.6	$300	FS003
Garland	MWG-2W	Double	Gas	3	6.00	"1,533"	293	566	180	52%	7.6	$300	FS003
Garland	XG24	Double	Gas	2	4.00	"2,485"	310	"1,077"	135	51%	14.6	$200	FS003
Garland	XG36	Double	Gas	3	6.00	"2,485"	310	"1,077"	135	51%	14.6	$300	FS003
Jade	JGT-2418	Single	Gas	2	3.00	"2,803"	-	"2,588"	-	40%	6.6	$200	FS003
Jade	JGT-2424	Single	Gas	2	4.00	"2,803"	-	"2,588"	-	40%	6.6	$200	FS003
Jade	JGT-2436	Single	Gas	3	6.00	"2,803"	-	"2,588"	-	40%	6.6	$300	FS003
Jade	JGT-2442	Single	Gas	4	7.00	"2,803"	-	"2,588"	-	40%	6.6	$400	FS003
Jade	JGT-2448	Single	Gas	4	8.00	"2,803"	-	"2,588"	-	40%	6.6	$400	FS003
Jade	JGT-2454	Single	Gas	5	9.00	"2,803"	-	"2,588"	-	40%	6.6	$500	FS003
Jade	JGT-2460	Single	Gas	5	10.00	"2,803"	-	"2,588"	-	40%	6.6	$500	FS003
Jade 	JGT-2472	Single	Gas	6	12.00	"2,803"	-	"2,588"	-	40%	6.6	$600	FS003
Jade	JGT-2484	Single	Gas	7	14.00	"2,803"	-	"2,588"	-	40%	6.6	$700	FS003
Taylor Company	C811-**	Double	Gas	3	6.00	"2,817"	275	"1,418"	154	51%	11.9	$300	FS003
Taylor Company	C813-**	Double	Gas	3	6.00	"2,817"	275	"1,418"	154	51%	11.9	$300	FS003
Taylor Company	C835-**	Double	Gas	3	6.00	"3,036"	267	"1,293"	163	48%	8.6	$300	FS003
Taylor Company	C845-**	Double	Gas	3	6.00	"2,817"	275	"1,418"	154	51%	11.9	$300	FS003
Taylor Company	L811-**	Double	Gas	3	6.00	"2,587"	260	"1,368"	170	69%	16.5	$300	FS003
Taylor Company	L813-**	Double	Gas	3	6.00	"2,587"	260	"1,368"	170	69%	16.5	$300	FS003
Taylor Company	L819-**	Double	Gas	2	4.00	"2,515"	263	"1,519"	184	63%	18.4	$200	FS003
Vulcan	VCCG24-IC02	Single	Gas	2	4.00	"2,032"	-	"2,291"	-	38%	7.8	$200	FS003
Vulcan	VCCG24-IS02	Single	Gas	2	4.00	"2,977"	-	"2,169"	-	40%	7.2	$200	FS003
Vulcan	VCCG36-AR01	Single	Gas	3	6.00	"3,388"	-	"2,141"	-	39%	8.3	$300	FS003
Vulcan	VCCG36-IC02	Single	Gas	3	6.00	"2,032"	-	"2,291"	-	38%	7.8	$300	FS003
Vulcan	VCCG36-IS02	Single	Gas	3	6.00	"2,977"	-	"2,169"	-	40%	7.2	$300	FS003
Vulcan	VCCG48-IC02	Single	Gas	4	8.00	"2,032"	-	"2,291"	-	38%	7.8	$400	FS003
Vulcan	VCCG48-IS02	Single	Gas	4	8.00	"2,977"	-	"2,169"	-	40%	7.2	$400	FS003
Vulcan	VCCG60-IC02	Single	Gas	5	10.00	"2,032"	-	"2,291"	-	38%	7.8	$500	FS003
Vulcan	VCCG60-IS02	Single	Gas	5	10.00	"2,977"	-	"2,169"	-	40%	7.2	$500	FS003
Vulcan	VCCG72-IS02	Single	Gas	6	12.00	"2,977"	-	"2,169"	-	40%	7.2	$600	FS003
Wolf	IRG-36	Single	Gas	3	6.00	"2,900"	-	"2,483"	-	42%	7.2	$300	FS003
Wolf	IRG-48	Single	Gas	4	8.00	"2,900"	-	"2,483"	-	42%	7.2	$400	FS003
Wolf	IRG-60	Single	Gas	5	10.00	"2,900"	-	"2,483"	-	42%	7.2	$500	FS003
