Qualified Pre-Rinse Spray Valves			Updated 	 5/17/2017
Qualifying models must be listed in the California Energy Commission database. Pre-rinse spray valves must 				
"have a tested flow rate of 1.15 GPM or less, utilizing ASTM F23-24."				
NOTE: Program criteria are subject to change.				
"Check your utility rebate application for terms and conditions, and effective program dates."				
Company Name	Model Number	"Flow Rate
(GPM)"	Rebate	"PG&E
Measure
Code"
"Bricor Analytical, Inc."	B006PRV	0.67	$35	FS001
Chicago Faucet	2305-208663AB	1.00	$35	FS001
Chicago Faucet	2305-209859	1.00	$35	FS001
Chicago Faucet	2305-613AABCP	1.00	$35	FS001
Chicago Faucet	2305-VB613AABCP	1.00	$35	FS001
Chicago Faucet	332CR44163AB	1.00	$35	FS001
Chicago Faucet	509-205220	1.00	$35	FS001
Chicago Faucet	509-206428AB	1.00	$35	FS001
Chicago Faucet	509-209874AB	1.00	$35	FS001
Chicago Faucet	509-GCLABCP	1.00	$35	FS001
Chicago Faucet	509-GCTFABCP	1.00	$35	FS001
Chicago Faucet	509-GCVBL12ABCP	1.00	$35	FS001
Chicago Faucet	509-SSVBL12ABCP	1.00	$35	FS001
Chicago Faucet	509CR44159AB	1.00	$35	FS001
Chicago Faucet	509CR44166AB	1.00	$35	FS001
Chicago Faucet	510-201860AB	1.00	$35	FS001
Chicago Faucet	510-201933AB	1.00	$35	FS001
Chicago Faucet	510-203150AB	1.00	$35	FS001
Chicago Faucet	510-205738	1.00	$35	FS001
Chicago Faucet	510-205829AB	1.00	$35	FS001
Chicago Faucet	510-206263AB	1.00	$35	FS001
Chicago Faucet	510-206429AB	1.00	$35	FS001
Chicago Faucet	510-206848AB	1.00	$35	FS001
Chicago Faucet	510-207469AB	1.00	$35	FS001
Chicago Faucet	510-208908AB	1.00	$35	FS001
Chicago Faucet	510-GC613AL12ABCP	1.00	$35	FS001
Chicago Faucet	510-GC613AL15ABCP	1.00	$35	FS001
Chicago Faucet	510-GC613ALABCP	1.00	$35	FS001
Chicago Faucet	510-GCLABCP	1.00	$35	FS001
Chicago Faucet	510-GCLWSLABCP	1.00	$35	FS001
Chicago Faucet	510-GCTFABCP	1.00	$35	FS001
Chicago Faucet	510-GCTFWSLABCP	1.00	$35	FS001
Chicago Faucet	510-GCVB613AL12AB	1.00	$35	FS001
Chicago Faucet	510-GCVB613AL15AB	1.00	$35	FS001
Chicago Faucet	510-SSABCP	1.00	$35	FS001
Chicago Faucet	510-SSVBABCP	1.00	$35	FS001
Chicago Faucet	510CR44269AB	1.00	$35	FS001
Chicago Faucet	512-GC90LABCP	1.00	$35	FS001
Chicago Faucet	524-VBABCP	1.00	$35	FS001
Chicago Faucet	526-208167AB	1.00	$35	FS001
Chicago Faucet	526-919SLABCP	1.00	$35	FS001
Chicago Faucet	526-919STFABCP	1.00	$35	FS001
