Qualified Solid Door Refrigerators					Updated 	 5/17/2017
Qualifying models must meet ENERGY STAR® Version 4.0 specification and must be listed in the California Energy Commission database.						
Products on this list qualify for purchases from the date they are added until the date they are removed.						
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."						
Company	Model Number	Style Type	"Total
Volume
(cu. ft.)"	"Daily
Energy Use
(kWh)"	"Rebate
(per unit)"	"PG&E
Measure
Code"
ACCUCOLD	FFAR121SS*	Reach-in	8.83	1.15	$45	F183
ACCUCOLD	FFAR12W*	Reach-in	8.83	1.15	$45	F183
Accucold by Summit Appliance	CM411*	Undercounter	4.10	1.02	$45	F183
Accucold by Summit Appliance	CM421*	Undercounter	4.10	1.02	$45	F183
Accucold by Summit Appliance	FF28*	Other	2.40	1.00	$45	F183
Accucold by Summit Appliance	S19LWH*	Other	1.70	1.00	$45	F183
Arctic Air	R22CW	Reach-in	18.50	1.30	$60	F184
Atosa	MBF8004	Reach-in	21.38	1.56	$60	F184
Atosa	MBF8005	Reach-in	41.99	2.34	$85	F185
Atosa	MBF8505	Reach-in	19.15	1.56	$60	F184
Atosa	MBF8507	Reach-in	43.46	2.34	$85	F185
Atosa	MGF8401	Undercounter	7.15	0.90	$45	F183
Atosa	MGF8404	Undercounter	21.13	1.69	$60	F184
Atosa	MGF8408	Work-Top Table	7.15	0.90	$45	F183
Atosa	MGF8411	Work-Top Table	21.13	1.69	$60	F184
Delfield	KCM-74	Milk or Beverage Cabinet	15.66	0.98	$60	F184
Delfield	SCM-74	Milk or Beverage Cabinet	15.66	0.98	$60	F184
Dowell	R-60	Wedge Case	2.12	0.66	$45	F183
Excellence	DBC20S	Reach-in	19.70	1.23	$60	F184
Frigidaire	FCRS181RQB*	Reach-in	17.89	1.21	$60	F184
Frigidaire	FCRS181RQBA	Reach-in	17.89	1.45	$60	F184
Frigidaire	FCRS20****	Reach-in	19.40	1.32	$60	F184
Gibson	GCBM18RQW*	Reach-in	17.89	1.21	$60	F184
Gibson	RR18R*	Reach-in	18.00	1.32	$60	F184
Hoshizaki	CR1S-FS*	Reach-in	20.90	1.55	$60	F184
Hoshizaki	CR2S-FS*	Reach-in	47.20	2.48	$85	F185
Hoshizaki	CRMR27-***	Undercounter	6.22	0.64	$45	F183
Hoshizaki	CRMR36-***	Undercounter	8.70	0.81	$45	F183
Hoshizaki	CRMR72-***	Undercounter	19.68	1.53	$60	F184
Hoshizaki	HR24A	Undercounter	3.70	0.38	$45	F183
Hoshizaki America	CR1S-HS*	Reach-in	20.80	1.47	$60	F184
Hoshizaki America	CR2S-HS	Reach-in	47.00	2.30	$85	F185
IM2	EVC1.5 R6	Reach-in	1.62	0.45	$45	F183
Imperial	RF265*	Reach-in	27.61	1.88	$60	F184
Kairak	KUHT48-LR	Undercounter	13.56	1.20	$45	F183
Kelvinator	KCBM180RQY*	Reach-in	17.89	1.21	$60	F184
Kelvinator	KCBM180RQYA	Reach-in	17.89	1.45	$60	F184
Kelvinator	KRS22****	Reach-in	19.40	1.32	$60	F184
Liebherr	GRT21S1HC	Reach-in	20.06	1.27	$60	F184
Liebherr	GRT50S2HC	Reach-in	46.31	2.40	$85	F185
Master-Bilt	MBR23-SH	Reach-in	19.44	1.37	$60	F184
Master-Bilt	MBR49-SH	Reach-in	42.06	2.73	$85	F185
Master-Bilt	R23-SH	Reach-in	19.44	1.37	$60	F184
Master-Bilt	R49-SH	Reach-in	42.06	2.73	$85	F185
"Ningbo Yingqi Metal Products Co., Ltd."	RF18D-A	Reach-in	1.62	0.98	$45	F183
"Ningbo Yingqi Metal Products Co., Ltd."	RF20D-A	Reach-in	1.77	0.79	$45	F183
Norlake	AR124***/0-A	Milk or Beverage Cabinet	17.82	1.16	$60	F184
Norlake	AR162***/0-A	Milk or Beverage Cabinet	23.50	1.25	$60	F184
Norlake	AR164***/0-A	Milk or Beverage Cabinet	23.50	1.32	$60	F184
