Qualified Convection Ovens											Updated 	 5/17/2017
Qualifying models must be listed in the California Energy Commission database. Gas ovens must meet ENERGY STAR specifications or have a tested heavy load potato cooking												
"energy efficiency of 46% or more, utilizing ASTM Standard F1496. Half-size gas ovens must have an idle rate of 8,000 Btu/h or less, full-size (≤ 5 pans) 12,000 Btu/h or less and"												
"large full-size (> 5 pans) 13,000 Btu/h or less."												
"Electric ovens must meet ENERGY STAR specifications or have a tested heavy load potato cooking energy efficiency of 71% or more, utilizing ASTM Standard F1496. Half-size"												
"electric ovens must have an idle rate of 1.0 kW or less, full-size (≤ 5 pans) 1.6 kW or less and large full-size (> 5 pans) 1.9 kW or less. Large full size electric ovens must also"												
have a tested cooking energy efficiency of 73% or more.												
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."												
Company	Model Number	"Oven
Size"	"Test Pan
Capacity"	"Fuel
Type"	"Rated Energy
Input Rate
(Btu or kWh)"	"Preheat
Energy
(Btu or kWh)"	"Idle Energy Rate
(Btu/h or kW)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lbs/h)"	"Fan/Control
Energy
(kW)"	"Rebate
(per cavity)"	"PG&E
Measure
Code"
American Range	M-1	Full	5	Gas	"90,000"	"14,164"	"10,842"	46%	101	0.75	$500	F188
American Range	M-1GL	Full	5	Gas	"90,000"	"14,164"	"10,842"	46%	101	0.75	$500	F188
American Range	M-1GR	Full	5	Gas	"90,000"	"14,164"	"10,842"	46%	101	0.75	$500	F188
American Range	M-2	Full	5	Gas	"90,000"	"14,164"	"10,842"	46%	101	0.75	$500	F188
American Range	M-2GL	Full	5	Gas	"90,000"	"14,164"	"10,842"	46%	101	0.75	$500	F188
American Range	M-2GR	Full	5	Gas	"90,000"	"14,164"	"10,842"	46%	101	0.75	$500	F188
American Range	MSD-1	Full	5	Gas	"70,000"	"10,536"	"11,714"	46%	85	0.34	$500	F188
American Range	MSD-2	Full	5	Gas	"70,000"	"10,536"	"11,714"	46%	85	0.34	$500	F188
Bakers Pride	BCO-G*	Full	5	Gas	"60,000"	"9,050"	"9,253"	48%	86	0.36	$500	F188
Bakers Pride	CO11-G*	Full	5	Gas	"60,000"	"9,050"	"9,253"	48%	86	0.36	$500	F188
Bakers Pride	GDCO-G*	Full	5	Gas	"60,000"	"9,050"	"9,253"	48%	86	0.36	$500	F188
BKI	COB-G*	Full	5	Gas	"60,000"	"9,050"	"9,253"	48%	86	0.36	$500	F188
