Manufacturer	Model Number	Rough Shape	Exact Lamp Shape 	Wattage	Color Temperature	Length (in inches)	Width (in inches)	Light Quality CRI	Base Type	Lumens
Overdrive	9W/ODT2S	bulbous		8.566					E26	627.95
Overdrive	9W/ODT2S/41K	bulbous		8.566					E26	627.95
Overdrive	9W/ODT2S/50K	bulbous		8.566					E26	627.95
Overdrive	13W/ODT2S	bulbous		12.33					E26	907.62
Overdrive	13W/ODT2S/41K	bulbous		12.33					E26	907.62
Overdrive	13W/ODT2S/50K	bulbous		12.33					E26	907.62
Overdrive	18W/ODT2S	bulbous		16.92					E26	1238.5
Overdrive	18W/ODT2S/41K	bulbous		16.92					E26	1238.5
Overdrive	18W/ODT2S/50K	bulbous		16.92					E26	1238.5
Overdrive	23W/ODT2S/27K	bulbous		21.64					E26	1615.9
Overdrive	23W/ODT2S/41K	bulbous		21.64					E26	1615.9
Overdrive	23W/ODT2S/50K	bulbous		21.64					E26	1615.9
Overdrive	26W/ODT2S	bulbous		24.36					E26	1782.8
Overdrive	26W/ODT2S/41K	bulbous		24.36					E26	1782.8
Overdrive	26W/ODT2S/50K	bulbous		24.36					E26	1782.8
Overdrive	40W/ODSP	bulbous		38.51					E26	2685.2
Overdrive	40W/ODSP/41K	bulbous		38.51					E26	2685.2
Overdrive	40W/ODSP/50K	bulbous		38.51					E26	2685.2
SYLVANIA	29379	bulbous		7.3					E26	539
SYLVANIA	29707	bulbous		7.5					E26	520
SYLVANIA	29791	bulbous		10.7					E26	554
SYLVANIA	29401; 26944	bulbous		10.58					E26	762
SYLVANIA	29378	bulbous		10.2					E26	769
SYLVANIA	26921	bulbous		10.6					E26	762
SYLVANIA	26335	bulbous		13					E26	922
SYLVANIA	26903; 28919; 29727; 29735	bulbous		12.7					E26	900
SYLVANIA	26942	bulbous		12.6					E26	817
SYLVANIA	29972; 29727; 29898	bulbous		13					E26	922
SYLVANIA	29036	bulbous		12.7					E26	900
SYLVANIA	29781	bulbous		12.6					E26	899
SYLVANIA	29567	bulbous		12.3					E26	899
SYLVANIA	26331	bulbous		13					E26	922
SYLVANIA	26370; 26371; 28895; 28896	bulbous		13					E26	922
SYLVANIA	29978	bulbous		13					E26	922
SYLVANIA	26337	bulbous		13					E26	922
SYLVANIA	26372	bulbous		12.9					E26	921
SYLVANIA	26373; 26374	bulbous		12.9					E26	922
SYLVANIA	26339	bulbous		12.9					E26	922
SYLVANIA	26375	bulbous		12.8					E26	829
SYLVANIA	26376	bulbous		12.9					E26	819
SYLVANIA	26340	bulbous		12.9					E26	819
SYLVANIA	26377; 26378; 28897	bulbous		12.9					E26	836
SYLVANIA	26333	bulbous		12.9					E26	836
SYLVANIA	29912	bulbous		13					E26	922
SYLVANIA	29926	bulbous		13					E26	922
SYLVANIA	29925	bulbous		13					E26	922
SYLVANIA	28901	bulbous		13					E26	922
SYLVANIA	28900	bulbous		13					E26	922
SYLVANIA	26912; 29036	bulbous		12.7					E26	900
SYLVANIA	29782	bulbous		13.1					E26	880
SYLVANIA	28961	bulbous		12.9					E26	816
SYLVANIA	26900	bulbous		13.8					E26	966
SYLVANIA	29454	bulbous		13.8					E26	966
SYLVANIA	26913	bulbous		18.4					E26	1323
SYLVANIA	26924	bulbous		19.8					E26	1452
SYLVANIA	29728; 29973	bulbous		19.1					E26	1296
SYLVANIA	29899	bulbous		18.8					E26	1332
SYLVANIA	26347; 26348	bulbous		19.8					E26	1367
SYLVANIA	26341	bulbous		19.8					E26	1367
SYLVANIA	26349	bulbous		19.8					E26	1336
SYLVANIA	28904	bulbous		19.8					E26	1367
SYLVANIA	28903	bulbous		19.8					E26	1367
SYLVANIA	26336	bulbous		23.2					E26	1640
SYLVANIA	26939	bulbous		23.4					E26	1678
SYLVANIA	29974	bulbous		23.7					E26	1695
SYLVANIA	29729	bulbous		23.2					E26	1640
SYLVANIA	26353; 26354; 28898; 28899	bulbous		23.2					E26	1640
SYLVANIA	26344	bulbous		23.2					E26	1640
SYLVANIA	26332	bulbous		23.2					E26	1640
SYLVANIA	26355	bulbous		22.9					E26	1663
