																				
																					
													Mixed Door Cabinet								
ENERGY STAR Partner	Brand	Model Name	Model Number	Additional Model Information	Product Type	Product Orientation (Vertical/Chest)	Product Description	Defrost Type	Number of Glass Doors	Number of Solid Doors	Door Opening Orientation (Hinged/Sliding)	Total Volume (cu. ft.)	Glass Door Volume (cu. ft.)	Solid Door Volume (cu. ft.)	Height (in)	Width (in)	Depth (in)	Daily Energy Consumption (kW hours/day)	Refrigerant Type	Date Available On Market	Date Qualified
Admiral Craft Equipment Corp.	ADCRAFT	FZ-1D	FZ-1D		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.6		2.44	82.5	29	32.2	6.3	R-404A	1/20/2011	10/19/2012
Admiral Craft Equipment Corp.	ADCRAFT	FZ-2D	FZ-2D		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	41.33		2.26	82.5	54	32.2	11.06	R-404A	1/20/2011	10/19/2012
Admiral Craft Equipment Corp.	ADCRAFT	FZS-2D	FZS-2D		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	28	2.33		80	48	26	16.93	R-404A	1/20/2011	11/19/2012
Admiral Craft Equipment Corp.	ADCRAFT	RF-1D	RF-1D		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.6		2.44	82.5	29	32.2	2.24	R-134A	1/20/2011	10/19/2012
Admiral Craft Equipment Corp.	ADCRAFT	RF-2D	RF-2D		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	41.33		2.26	82.5	54	32.2	2.57	R-134A	1/20/2011	10/19/2012
Admiral Craft Equipment Corp.	ADCRAFT	RF-3D	RF-3D		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	66.46	0	66.46	82.48	80.87	32.2	3.58	R-134A	4/30/2011	9/21/2012
Admiral Craft Equipment Corp.	ADCRAFT	RF-3D	RF-3D		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	66.46		2.26	82.5	81	32.2	3.58	R-134A	1/20/2011	10/19/2012
Admiral Craft Equipment Corp.	ADCRAFT	RFS-1D	RFS-1D		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	22.99	1.98		79	28	32	3.4	R-134A	1/20/2011	10/19/2012
Admiral Craft Equipment Corp.	ADCRAFT	RFS-2D	RFS-2D		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	42.5	1.77		79	53	32	4.92	R-134A	1/20/2011	10/19/2012
