Qualified Glass Door Refrigerators					Updated 	 5/17/2017
Qualifying models must meet ENERGY STAR® Version 4.0 specification and must be listed in the California Energy Commission database.						
Products on this list qualify for purchases from the date they are added until the date they are removed.						
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."						
Company	Model Number	Style Type	"Total
Volume
(cu. ft.)"	"Daily
Energy Use
(kWh)"	"Rebate
(per unit)"	"PG&E
Measure
Code"
ACCUCOLD	ACR1151*	Reach-in	9.36	1.30	$40	F171
AHT	VENTO GD 250 L8 LAPS	Reach-in	119.42	6.20	$100	F174
AHT	VENTO GD 250 L8 LTG	Reach-in	119.42	6.20	$100	F174
AHT	VENTO GD 250 L8 LTG SLED	Reach-in	119.42	6.20	$100	F174
AHT	VENTO GD 375 L8 LAPS	Reach-in	179.09	13.04	$100	F174
AHT	VENTO GD 375 L8 LTG	Reach-in	179.09	13.04	$100	F174
AHT	VENTO GD 375 L8 LTG SLED	Reach-in	179.09	13.04	$100	F174
AHT	VENTO HYB GD 250 L8 LAPS	Reach-in	119.42	10.17	$100	F174
AHT	VENTO HYB GD 250 L8 LTG	Reach-in	119.42	10.17	$100	F174
AHT	VENTO HYB GD 250 L8 LTG SLED	Reach-in	119.42	10.17	$100	F174
AHT	VENTO HYB GD 375 L8 LAPS	Reach-in	179.09	17.64	$100	F174
AHT	VENTO HYB GD 375 L8 LTG	Reach-in	179.09	17.64	$100	F174
AHT	VENTO HYB GD 375 L8 LTG SLED	Reach-in	179.09	17.64	$100	F174
Avanti	CFC83Q0WG-R	Reach-in	9.48	0.50	$40	F171
Fogel	V-513	Reach-in	15.62	1.79	$60	F172
Fogel	VR-17-RE	Reach-in	15.46	1.75	$60	F172
Frigidaire	FCGM181RQBB	Reach-in	18.48	2.00	$60	F172
Haier	SC-258H	Reach-in	8.50	1.15	$40	F171
Haier	SC-328H	Reach-in	10.70	1.41	$40	F171
Imbera	G319 R2	Reach-in	19.20	1.80	$60	F172
Imbera	G319 R2 SZ	Reach-in	19.20	2.02	$60	F172
Imbera	VR10 R2	Reach-in	9.43	1.24	$40	F171
Imbera	VR12 R2	Reach-in	11.50	1.38	$40	F171
Imbera	VR12 R2	Reach-in	11.50	1.46	$40	F171
Imbera	VRD43 SD R2	Reach-in	41.66	3.31	$80	F173
Kelvinator	KCGM180RQYB	Reach-in	18.48	2.00	$60	F172
Master-Bilt	MPR80*SSG/0X	Reach-in	82.95	6.72	$100	F174
Minus Forty	10-USGR-00-1C00*-***********	Reach-in	9.15	1.19	$40	F171
Minus Forty	10-USGR-X1-1C00*-***********	Reach-in	9.15	1.19	$40	F171
Minus Forty	19-USGR-**-1C00*-*********	Reach-in	18.39	1.85	$60	F172
Minus Forty	19-USGR-00-1C00*-***********	Reach-in	18.39	1.85	$60	F172
Minus Forty	19-USGR-L1-1C00*-***********	Reach-in	18.39	1.85	$60	F172
Minus Forty	19-USGR-X1-1C00*-***********	Reach-in	18.39	1.85	$60	F172
Minus Forty	22-USGR-**-1C00*-*********	Reach-in	21.50	1.85	$60	F172
Minus Forty	22-USGR-00-1C00*-***********	Reach-in	21.50	1.85	$60	F172
Minus Forty	22-USGR-L1-1C00*-***********	Reach-in	21.50	1.85	$60	F172
Minus Forty	22-USGR-X1-1C00*-***********	Reach-in	21.50	1.85	$60	F172
Minus Forty	43-UDGR-**-1C00*-*********	Reach-in	35.44	2.85	$80	F173
Minus Forty	43-UDGR-00-1C00*-***********	Reach-in	35.43	2.85	$80	F173
Minus Forty	43-UDGR-L1-1C00*-***********	Reach-in	35.43	2.85	$80	F173
Minus Forty	43-UDGR-X1-1C00*-***********	Reach-in	35.43	2.85	$80	F173
Minus Forty	44-UDGR-**-1C00*-*********	Reach-in	38.43	2.85	$80	F173
Minus Forty	44-UDGR-00-1C00*-***********	Reach-in	38.43	2.85	$80	F173
Minus Forty	44-UDGR-L1-1C00*-***********	Reach-in	38.43	2.85	$80	F173
