Qualified Steam Cookers										Updated 	 5/17/2017
Qualifying gas steam cooker models must have a tested heavy load potato cooking energy efficiency of 38% utilizing ASTM Standard F1484.											
Qualifying electric steam cooker models must have a tested heavy load potato cooking energy efficiency of 50% utilizing ASTM Standard F1484.											
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."											
Company	Model Number	"Steamer
Type"	"Pan
Capacity"	"Fuel
Type"	"Preheat
Energy
(Btu or kWh)"	"Idle Energy
Rate
(Btu/h or kW)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lb/h)"	"Water
Use
(gph)"	"Rebate
(per
compartment)"	"PG&E
Measure
Code"
AccuTemp	N6	Boilerless	6 pan	Gas	"9,682"	711	47%	139	< 3	$2500	F109
AccuTemp	P6	Boilerless	6 pan	Gas	"9,682"	711	47%	139	< 3	$2500	F109
American Cook Systems	SG-6	Boilerless	6 pan	Gas	"8,226"	"1,266"	45%	141	< 3	$2500	F109
Cleveland	22CGT3.1	Boilerless	3 pan	Gas	"6,520"	"2,440"	39%	44	2.2	$2500	F109
Cleveland	22CGT6.1	Boilerless	6 pan	Gas	"7,880"	"3,640"	43%	84	1.7	$2500	F109
Cleveland	24CGA10.2ES	Steam Generator	10 pan	Gas	"15,616"	"3,894"	45%	181	15.8	$2500	F109
Cleveland	24CGA6.2ES	Steam Generator	6 pan	Gas	"14,472"	"5,764"	48%	129	11.8	$2500	F109
Intek	XSG-5	Boilerless	5 pan	Gas	"7,112"	"7,027"	49%	96	< 3.0	$2500	F109
Market Forge	ETP-10G	Steam Generator	10 pan	Gas	"16,690"	"5,766"	40%	182	7.5	$2500	F109
Market Forge	Sirius II-10	Boilerless	10 pan	Gas	"12,850"	"11,442"	48%	127	1.4	$2500	F109
Market Forge	Sirius II-12	Boilerless	12 pan	Gas	"13,000"	"11,184"	47%	126	1.8	$2500	F109
Market Forge	Sirius II-4	Boilerless	4 pan	Gas	"6,350"	"5,850"	49%	64	0.5	$2500	F109
Market Forge	Sirius II-6	Boilerless	6 pan	Gas	"6,500"	"5,592"	47%	63	0.9	$2500	F109
Market Forge	Sirius II-8	Boilerless	8 pan	Gas	"12,700"	"11,700"	49%	128	1	$2500	F109
AccuTemp	E6	Boilerless	6 pan	Electric	2.00	0.10	70%	127	< 3.0	$1850	F108
AccuTemp	S3	Boilerless	3 pan	Electric	1.60	0.20	60%	71	< 1.5	$1850	F108
AccuTemp	S6	Boilerless	6 pan	Electric	1.70	0.30	69%	97	< 1.5	$1850	F108
American Cook Systems	SS	Boilerless	6 pan	Electric	1.65	0.36	69%	132	< 3	$1850	F108
